age,workclass,education-num,marital-status,occupation,relationship,race,sex,capital,hours-per-week,region,income
41-50,Private,9,Married-civ-spouse,Sales,Wife,White,Female,0,40,United-States,>50K
31-40,Private,9,Married-civ-spouse,Other-service,Husband,White,Male,0,30,,<=50K
0-17,Private,9,Never-married,Other-service,Own-child,White,Female,0,40,United-States,<=50K
51-60,Private,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,45,United-States,>50K
31-40,Private,9,Never-married,Sales,Not-in-family,White,Male,0,45,United-States,<=50K
25-30,Private,4,Married-civ-spouse,Craft-repair,Husband,White,Male,0,48,United-States,<=50K
31-40,State-gov,10,Married-civ-spouse,Other-service,Husband,White,Male,0,40,United-States,<=50K
61-70,State-gov,10,Divorced,Craft-repair,Not-in-family,White,Male,0,40,Central Europe,<=50K
51-60,Self-emp-not-inc,13,Divorced,Farming-fishing,Not-in-family,White,Male,27828,50,United-States,>50K
51-60,Private,14,Never-married,Exec-managerial,Not-in-family,White,Male,0,40,Middle America,<=50K
51-60,Self-emp-not-inc,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,4386,10,,>50K
51-60,Private,10,Divorced,Sales,Not-in-family,White,Female,0,32,United-States,<=50K
18-24,Private,10,Never-married,Priv-house-serv,Own-child,White,Female,0,20,United-States,<=50K
51-60,Private,4,Married-spouse-absent,Craft-repair,Not-in-family,Black,Male,0,50,Middle America,<=50K
41-50,Private,9,Divorced,Machine-op-inspct,Unmarried,White,Female,0,30,United-States,<=50K
25-30,Private,11,Married-civ-spouse,Craft-repair,Husband,White,Male,0,40,United-States,>50K
61-70,Private,14,Never-married,Prof-specialty,Other-relative,White,Female,0,8,United-States,<=50K
18-24,Private,13,Never-married,Prof-specialty,Not-in-family,White,Female,0,10,United-States,<=50K
41-50,Private,13,Separated,Prof-specialty,Unmarried,Asian-Pac-Islander,Female,0,40,Southeast Asia,<=50K
31-40,Local-gov,10,Divorced,Prof-specialty,Own-child,White,Female,0,45,United-States,<=50K
31-40,Private,12,Married-civ-spouse,Sales,Husband,White,Male,-1977,45,United-States,>50K
51-60,Private,7,Divorced,Sales,Not-in-family,White,Male,0,50,United-States,<=50K
18-24,Private,9,Never-married,Handlers-cleaners,Own-child,White,Male,0,28,United-States,<=50K
61-70,Private,4,Widowed,Farming-fishing,Not-in-family,Black,Male,0,40,United-States,<=50K
41-50,Private,10,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,50,Southeast Asia,>50K
31-40,Private,10,Never-married,Other-service,Not-in-family,White,Female,0,20,United-States,<=50K
51-60,Self-emp-inc,11,Married-civ-spouse,Exec-managerial,Husband,White,Male,15024,40,United-States,>50K
31-40,Private,9,Divorced,Prof-specialty,Not-in-family,White,Male,0,40,United-States,<=50K
18-24,Private,9,Never-married,Sales,Not-in-family,White,Female,0,40,United-States,<=50K
31-40,Self-emp-not-inc,9,Married-civ-spouse,Craft-repair,Husband,White,Male,4064,40,United-States,<=50K
25-30,Private,9,Married-civ-spouse,Handlers-cleaners,Husband,Amer-Indian-Eskimo,Male,0,40,United-States,<=50K
31-40,Self-emp-inc,13,Married-civ-spouse,Sales,Husband,White,Male,0,55,United-States,>50K
31-40,Private,10,Married-civ-spouse,Sales,Husband,White,Male,0,55,United-States,>50K
41-50,Private,9,Married-civ-spouse,Sales,Husband,White,Male,0,50,United-States,<=50K
41-50,Private,13,Divorced,Prof-specialty,Unmarried,White,Female,0,36,West Europe,<=50K
18-24,Private,9,Never-married,Farming-fishing,Not-in-family,White,Male,0,45,United-States,<=50K
25-30,Private,10,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,80,United-States,<=50K
18-24,Private,12,Never-married,Sales,Own-child,White,Male,0,20,United-States,<=50K
31-40,Private,11,Married-civ-spouse,Tech-support,Husband,Asian-Pac-Islander,Male,0,40,Southeast Asia,<=50K
41-50,Self-emp-not-inc,7,Divorced,Exec-managerial,Unmarried,White,Female,0,55,United-States,<=50K
31-40,Local-gov,9,Married-civ-spouse,Other-service,Husband,Black,Male,3103,38,United-States,>50K
31-40,Private,9,Separated,Prof-specialty,Unmarried,Amer-Indian-Eskimo,Female,0,40,United-States,<=50K
31-40,Private,11,Married-civ-spouse,Transport-moving,Husband,White,Male,2829,40,United-States,<=50K
18-24,Local-gov,13,Never-married,Prof-specialty,Not-in-family,White,Male,0,35,United-States,<=50K
31-40,Private,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,52,United-States,<=50K
41-50,Private,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,50,United-States,<=50K
18-24,Private,13,Never-married,Prof-specialty,Own-child,White,Male,0,40,United-States,<=50K
51-60,State-gov,14,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,8,United-States,<=50K
31-40,Private,13,Divorced,Sales,Not-in-family,White,Male,0,60,United-States,<=50K
18-24,Private,9,Never-married,Other-service,Own-child,White,Male,0,35,United-States,<=50K
51-60,Private,9,Widowed,Tech-support,Unmarried,Black,Female,0,40,United-States,<=50K
41-50,Private,9,Married-civ-spouse,Sales,Wife,Black,Female,-1485,37,United-States,>50K
41-50,Private,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,5178,40,United-States,>50K
18-24,Private,9,Never-married,Handlers-cleaners,Unmarried,White,Male,0,45,United-States,<=50K
61-70,Self-emp-not-inc,4,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,56,United-States,<=50K
41-50,Private,6,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,40,United-States,<=50K
25-30,Private,11,Married-civ-spouse,Craft-repair,Husband,White,Male,0,40,United-States,<=50K
41-50,Federal-gov,9,Divorced,Other-service,Unmarried,White,Male,0,40,United-States,<=50K
31-40,Private,10,Divorced,Adm-clerical,Unmarried,White,Female,0,30,United-States,<=50K
25-30,Private,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,55,United-States,<=50K
51-60,Private,11,Separated,Other-service,Unmarried,White,Female,0,35,United-States,<=50K
51-60,Private,9,Married-civ-spouse,Other-service,Husband,White,Male,0,40,United-States,<=50K
41-50,Private,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,40,United-States,<=50K
25-30,Private,9,Married-civ-spouse,Craft-repair,Husband,Amer-Indian-Eskimo,Male,0,48,United-States,<=50K
41-50,Private,3,Married-civ-spouse,Farming-fishing,Wife,White,Female,0,40,Mexico,<=50K
31-40,Private,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,40,United-States,<=50K
51-60,Self-emp-not-inc,10,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,75,United-States,<=50K
51-60,Self-emp-not-inc,14,Divorced,Sales,Not-in-family,White,Male,0,18,United-States,<=50K
31-40,State-gov,9,Married-civ-spouse,Adm-clerical,Other-relative,White,Female,0,35,United-States,<=50K
41-50,Private,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,60,United-States,<=50K
51-60,Private,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,-1672,45,United-States,<=50K
41-50,Private,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,40,United-States,<=50K
41-50,Self-emp-inc,11,Divorced,Sales,Unmarried,White,Female,0,30,United-States,<=50K
71+,Private,3,Widowed,Other-service,Unmarried,White,Male,0,20,United-States,<=50K
25-30,Private,14,Never-married,Exec-managerial,Not-in-family,White,Female,0,80,,<=50K
31-40,Private,2,Married-civ-spouse,Craft-repair,Husband,White,Male,0,35,Mexico,<=50K
31-40,Private,13,Separated,Prof-specialty,Not-in-family,White,Male,0,50,United-States,>50K
18-24,State-gov,13,Never-married,Prof-specialty,Not-in-family,White,Male,0,20,United-States,<=50K
51-60,Private,13,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,48,United-States,>50K
18-24,Private,12,Never-married,Adm-clerical,Not-in-family,White,Female,0,25,United-States,<=50K
31-40,Self-emp-not-inc,7,Married-civ-spouse,Exec-managerial,Husband,White,Male,-1887,45,United-States,>50K
18-24,Private,10,Never-married,Adm-clerical,Not-in-family,White,Female,0,40,United-States,<=50K
51-60,Self-emp-inc,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,25,United-States,<=50K
25-30,Local-gov,13,Never-married,Protective-serv,Own-child,White,Male,0,40,United-States,<=50K
31-40,Private,11,Married-civ-spouse,Craft-repair,Husband,White,Male,5013,50,United-States,<=50K
31-40,Private,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,60,United-States,<=50K
25-30,Self-emp-not-inc,10,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,20,United-States,>50K
41-50,Private,6,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,4386,60,United-States,<=50K
51-60,Private,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,48,United-States,<=50K
25-30,Private,9,Never-married,Farming-fishing,Unmarried,White,Male,0,30,,<=50K
41-50,Private,10,Divorced,Exec-managerial,Not-in-family,White,Female,0,40,United-States,<=50K
25-30,Self-emp-not-inc,15,Never-married,Prof-specialty,Own-child,White,Male,0,20,United-States,<=50K
51-60,Self-emp-not-inc,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,30,United-States,<=50K
18-24,Private,10,Never-married,Other-service,Own-child,White,Female,0,20,Mexico,<=50K
51-60,Federal-gov,13,Married-civ-spouse,Prof-specialty,Husband,Black,Male,0,40,United-States,>50K
18-24,Local-gov,13,Never-married,Prof-specialty,Own-child,Asian-Pac-Islander,Female,0,35,East Asia,<=50K
31-40,Private,9,Divorced,Exec-managerial,Unmarried,White,Female,0,40,United-States,<=50K
31-40,Private,9,Married-civ-spouse,Transport-moving,Husband,Black,Male,-1887,40,United-States,>50K
25-30,Private,6,Never-married,Craft-repair,Own-child,White,Male,0,40,United-States,<=50K
41-50,Private,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,40,United-States,<=50K
18-24,Private,10,Never-married,Craft-repair,Not-in-family,White,Male,0,40,United-States,<=50K
41-50,Private,10,Never-married,Other-service,Not-in-family,White,Male,0,15,United-States,<=50K
31-40,Private,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,60,United-States,<=50K
25-30,Private,1,Married-civ-spouse,Farming-fishing,Other-relative,White,Male,41310,24,Mexico,<=50K
31-40,Private,3,Married-civ-spouse,Other-service,Husband,White,Male,0,40,Mexico,<=50K
61-70,Private,10,Widowed,Craft-repair,Not-in-family,White,Male,0,10,United-States,<=50K
61-70,Self-emp-not-inc,14,Separated,Prof-specialty,Not-in-family,White,Male,0,40,United-States,>50K
18-24,Private,9,Divorced,Handlers-cleaners,Own-child,White,Male,0,40,United-States,<=50K
51-60,Private,14,Married-civ-spouse,Transport-moving,Husband,White,Male,0,10,United-States,<=50K
31-40,Private,10,Divorced,Craft-repair,Not-in-family,White,Male,0,45,United-States,<=50K
61-70,Private,9,Divorced,Craft-repair,Unmarried,White,Male,0,20,United-States,<=50K
41-50,Local-gov,10,Married-civ-spouse,Protective-serv,Husband,White,Male,0,40,United-States,<=50K
18-24,Private,10,Never-married,Sales,Not-in-family,Black,Female,0,36,United-States,<=50K
41-50,Private,9,Never-married,Handlers-cleaners,Other-relative,White,Male,0,5,United-States,<=50K
31-40,Private,13,Married-civ-spouse,Handlers-cleaners,Own-child,White,Male,0,40,United-States,>50K
41-50,Private,4,Married-civ-spouse,Craft-repair,Husband,White,Male,0,47,United-States,<=50K
61-70,Self-emp-not-inc,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,70,United-States,<=50K
41-50,Private,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,40,United-States,<=50K
25-30,Private,13,Never-married,Tech-support,Not-in-family,White,Male,0,40,United-States,<=50K
51-60,Private,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,40,United-States,<=50K
61-70,Private,10,Never-married,Adm-clerical,Not-in-family,White,Female,0,40,United-States,<=50K
18-24,Private,9,Divorced,Adm-clerical,Not-in-family,White,Female,0,32,United-States,<=50K
51-60,Private,14,Married-civ-spouse,Sales,Husband,White,Male,0,55,United-States,>50K
41-50,Local-gov,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,40,United-States,<=50K
31-40,Private,9,Never-married,Craft-repair,Own-child,White,Male,0,40,Middle America,<=50K
61-70,Self-emp-not-inc,16,Widowed,Exec-managerial,Not-in-family,White,Female,0,40,United-States,>50K
25-30,Private,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,60,United-States,<=50K
18-24,Self-emp-not-inc,7,Never-married,Handlers-cleaners,Not-in-family,White,Male,0,40,United-States,<=50K
41-50,Local-gov,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,7688,45,United-States,>50K
25-30,Private,9,Never-married,Craft-repair,Own-child,White,Male,0,48,United-States,<=50K
18-24,State-gov,14,Never-married,Prof-specialty,Not-in-family,White,Female,0,20,United-States,<=50K
18-24,Private,10,Never-married,Sales,Unmarried,White,Male,0,50,Mexico,<=50K
31-40,Private,11,Never-married,Adm-clerical,Own-child,White,Female,14344,40,United-States,>50K
41-50,Private,10,Divorced,Sales,Not-in-family,White,Male,0,50,United-States,<=50K
51-60,Private,10,Married-civ-spouse,Sales,Husband,White,Male,0,40,United-States,>50K
41-50,Private,10,Married-civ-spouse,Craft-repair,Husband,Black,Male,0,30,United-States,<=50K
41-50,Self-emp-not-inc,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,25,United-States,<=50K
41-50,Private,14,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,45,United-States,>50K
18-24,Private,10,Never-married,Handlers-cleaners,Own-child,White,Male,0,40,United-States,<=50K
61-70,Local-gov,9,Widowed,Adm-clerical,Unmarried,White,Female,1471,35,United-States,<=50K
31-40,State-gov,10,Married-civ-spouse,Protective-serv,Husband,White,Male,0,70,United-States,<=50K
25-30,Private,10,Never-married,Adm-clerical,Own-child,White,Female,0,40,United-States,<=50K
41-50,Private,9,Divorced,Adm-clerical,Unmarried,White,Female,0,40,United-States,<=50K
51-60,Private,6,Married-civ-spouse,Transport-moving,Husband,Black,Male,0,40,United-States,>50K
31-40,Private,10,Married-civ-spouse,Exec-managerial,Husband,Black,Male,0,10,United-States,<=50K
41-50,Local-gov,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,40,United-States,>50K
18-24,Private,10,Never-married,Handlers-cleaners,Unmarried,White,Male,0,30,United-States,<=50K
18-24,State-gov,10,Never-married,Machine-op-inspct,Own-child,White,Female,0,40,United-States,<=50K
51-60,Private,9,Married-civ-spouse,Other-service,Husband,White,Male,0,40,United-States,<=50K
25-30,Private,10,Married-civ-spouse,Transport-moving,Husband,White,Male,0,40,United-States,<=50K
25-30,Local-gov,8,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,40,United-States,<=50K
51-60,Federal-gov,13,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,40,United-States,>50K
41-50,Private,10,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,65,United-States,<=50K
51-60,Private,15,Never-married,Prof-specialty,Not-in-family,White,Female,0,40,United-States,<=50K
31-40,Private,10,Married-civ-spouse,Sales,Husband,White,Male,0,40,Southeast Asia,>50K
18-24,Private,3,Never-married,Handlers-cleaners,Other-relative,White,Male,0,30,Middle America,<=50K
31-40,Private,6,Divorced,Machine-op-inspct,Not-in-family,White,Female,0,40,United-States,<=50K
25-30,Private,5,Never-married,Craft-repair,Not-in-family,White,Male,0,40,Middle America,<=50K
41-50,Private,13,Divorced,Prof-specialty,Other-relative,White,Female,0,50,United-States,>50K
25-30,Private,7,Never-married,Machine-op-inspct,Unmarried,White,Male,6497,48,United-States,<=50K
51-60,Private,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,50,United-States,>50K
31-40,Private,9,Separated,Sales,Not-in-family,White,Female,0,45,United-States,<=50K
31-40,Private,13,Never-married,Prof-specialty,Not-in-family,White,Male,0,50,United-States,<=50K
41-50,Private,9,Never-married,Exec-managerial,Not-in-family,Black,Female,0,40,United-States,<=50K
31-40,Private,4,Separated,Other-service,Not-in-family,White,Female,0,25,United-States,<=50K
31-40,Private,10,Never-married,Exec-managerial,Not-in-family,White,Male,0,45,United-States,<=50K
41-50,Self-emp-not-inc,7,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,30,United-States,>50K
31-40,Private,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,60,United-States,>50K
18-24,Private,10,Never-married,Prof-specialty,Own-child,White,Male,0,32,United-States,<=50K
18-24,Private,5,Never-married,Sales,Own-child,White,Female,0,40,United-States,<=50K
51-60,Self-emp-not-inc,9,Married-civ-spouse,Farming-fishing,Husband,Asian-Pac-Islander,Male,0,30,United-States,<=50K
25-30,Self-emp-not-inc,10,Married-civ-spouse,Sales,Husband,Amer-Indian-Eskimo,Male,0,55,United-States,>50K
18-24,Private,9,Never-married,Handlers-cleaners,Own-child,White,Male,0,43,United-States,<=50K
31-40,Private,7,Divorced,Handlers-cleaners,Not-in-family,White,Female,0,60,United-States,<=50K
51-60,Private,9,Married-civ-spouse,Craft-repair,Husband,Black,Male,0,48,United-States,<=50K
61-70,Private,13,Married-civ-spouse,Sales,Husband,White,Male,0,40,United-States,<=50K
71+,Private,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,50,United-States,>50K
41-50,Private,15,Divorced,Adm-clerical,Not-in-family,White,Male,0,40,United-States,<=50K
18-24,Private,10,Never-married,Sales,Own-child,White,Female,0,35,United-States,<=50K
51-60,Private,9,Married-civ-spouse,Sales,Husband,White,Male,0,40,United-States,>50K
31-40,Private,10,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,37,United-States,<=50K
41-50,Private,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,85,United-States,>50K
18-24,State-gov,9,Never-married,Adm-clerical,Own-child,Black,Female,0,20,United-States,<=50K
18-24,Self-emp-inc,9,Never-married,Machine-op-inspct,Own-child,White,Female,0,30,United-States,<=50K
31-40,Private,10,Married-civ-spouse,Other-service,Husband,Asian-Pac-Islander,Male,-1485,55,,>50K
41-50,Private,3,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,40,Middle America,<=50K
31-40,Private,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,40,United-States,>50K
18-24,Private,9,Married-spouse-absent,Other-service,Own-child,White,Female,0,35,United-States,<=50K
25-30,Private,10,Never-married,Sales,Not-in-family,White,Male,0,50,United-States,<=50K
51-60,State-gov,9,Married-civ-spouse,Protective-serv,Husband,Black,Male,0,40,United-States,>50K
31-40,Private,10,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,40,United-States,<=50K
61-70,Private,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,40,United-States,<=50K
41-50,Private,10,Divorced,Transport-moving,Unmarried,White,Male,0,35,West Europe,<=50K
51-60,Self-emp-not-inc,10,Divorced,Craft-repair,Not-in-family,White,Male,0,40,,<=50K
25-30,Private,9,Never-married,Craft-repair,Own-child,White,Male,0,36,United-States,<=50K
31-40,Private,7,Married-civ-spouse,Craft-repair,Husband,White,Male,0,40,United-States,<=50K
31-40,Self-emp-not-inc,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,30,United-States,<=50K
41-50,Private,5,Married-civ-spouse,Craft-repair,Husband,White,Male,0,40,United-States,<=50K
71+,Self-emp-not-inc,4,Widowed,Farming-fishing,Not-in-family,White,Male,0,35,United-States,<=50K
31-40,Private,9,Divorced,Adm-clerical,Unmarried,White,Female,0,50,United-States,<=50K
31-40,Private,6,Married-civ-spouse,Craft-repair,Husband,White,Male,0,50,United-States,<=50K
51-60,Private,11,Divorced,Other-service,Not-in-family,White,Male,0,20,United-States,<=50K
31-40,Private,10,Never-married,Handlers-cleaners,Own-child,White,Male,0,40,United-States,<=50K
31-40,Local-gov,14,Never-married,Prof-specialty,Not-in-family,White,Female,-2258,60,United-States,<=50K
41-50,Private,9,Never-married,Exec-managerial,Not-in-family,White,Male,0,40,United-States,<=50K
25-30,Private,12,Married-civ-spouse,Other-service,Wife,White,Female,0,25,United-States,>50K
31-40,Private,9,Married-civ-spouse,Farming-fishing,Husband,Amer-Indian-Eskimo,Male,0,63,United-States,<=50K
61-70,Private,9,Never-married,Handlers-cleaners,Other-relative,Black,Female,0,40,United-States,<=50K
25-30,Private,14,Never-married,Prof-specialty,Not-in-family,White,Female,0,16,United-States,<=50K
31-40,Private,13,Married-spouse-absent,Machine-op-inspct,Not-in-family,Asian-Pac-Islander,Male,-2339,40,,<=50K
25-30,Self-emp-inc,9,Separated,Prof-specialty,Other-relative,White,Male,0,25,United-States,<=50K
51-60,Private,9,Divorced,Sales,Not-in-family,White,Male,0,45,United-States,<=50K
61-70,Private,7,Widowed,Machine-op-inspct,Not-in-family,White,Female,0,40,South Asia,<=50K
51-60,Self-emp-inc,10,Married-civ-spouse,Transport-moving,Wife,White,Female,0,40,United-States,>50K
71+,Self-emp-not-inc,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,20,United-States,<=50K
25-30,Private,11,Never-married,Craft-repair,Not-in-family,White,Male,0,40,United-States,<=50K
31-40,Private,5,Divorced,Craft-repair,Own-child,White,Male,0,35,United-States,<=50K
51-60,Private,9,Never-married,Adm-clerical,Other-relative,White,Male,0,35,United-States,<=50K
31-40,Private,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,70,United-States,<=50K
41-50,Private,14,Divorced,Prof-specialty,Not-in-family,White,Male,0,40,United-States,>50K
51-60,Private,7,Never-married,Machine-op-inspct,Not-in-family,White,Male,0,40,United-States,<=50K
41-50,Local-gov,10,Married-civ-spouse,Tech-support,Husband,White,Male,4386,99,United-States,>50K
61-70,Private,9,Never-married,Sales,Not-in-family,White,Female,0,30,United-States,<=50K
